model,accuracy,auc,log_loss
XGBoost - historical,0.6492855817405827,0.7194737113251534,0.6129156698253574
Random Forest - historical,0.6496567081091111,0.7177078494931145,0.6142119487340271
Logistic Regression - historical,0.6500278344776397,0.7170684227897076,0.6164066463036144
Logistic Regression - basic,0.6342549638151791,0.6962305782059357,0.6359491305498294
Baseline: better ranked player,0.6349972165522361,0.6349819853028282,
